,name,Broker,5day_Amount,5day_Add_Percentage
0,1216,台灣摩根士丹利,6089,3.42
1,1216,永豐金證券,1481,4.89
2,1217,台新-新營,424,4.24
3,1217,富邦-仁愛,150,1.5
4,1319,聯邦-雙和,450,2.25
5,1319,臺銀-臺中,278,3.97
6,1326,美商高盛,1381,8.22
7,1402,玉山證券,1897,3.1
8,1402,兆豐證券,1069,1.52
9,1504,摩根大通,600,3.43
10,1528,摩根大通,225,1.56
11,1528,群益金鼎-潭子,168,1.46
12,8996,新加坡商瑞銀,483,2.09
13,8996,台灣摩根士丹利,295,3.43
14,8996,摩根大通,197,2.59
15,1708,新加坡商瑞銀,2021,4.27
16,1708,瑞士信貸,819,5.39
17,1708,美商高盛,651,3.68
18,1721,元富-西松,773,1.42
19,1721,元大-西門,419,2.46
20,2006,元大-承德,994,1.87
21,2103,新光,456,3.33
22,2330,摩根大通,9507,2.54
23,2330,美商高盛,7179,2.66
24,2337,凱基-台北,2279,1.74
25,2337,元大-汐止,1536,1.5
26,2337,港商法國興業,1218,1.15
27,2449,美商高盛,1910,1.48
28,2454,港商麥格理,2315,1.21
29,2454,新加坡商瑞銀,1334,1.47
30,3016,元大-土城永寧,2256,1.18
31,3016,群益金鼎-大安,1514,1.42
32,6271,兆豐-新竹,1313,2.37
33,6271,凱基-台北,946,1.55
34,6271,港商麥格理,902,2.05
35,2353,美林,1112,1.19
36,2377,美林,969,1.4
37,2382,瑞士信貸,2270,3.03
38,2382,凱基-台北,1625,2.32
39,2442,國票-九鼎,467,1.75
40,2442,兆豐-忠孝,200,2.08
41,3231,凱基-台北,1448,1.74
42,4938,美林,1720,4.87
43,2349,元大-樹林,520,2.6
44,2349,富邦-嘉義,111,1.12
45,3049,台灣摩根士丹利,1538,1.31
46,3535,凱基-台北,230,2.04
47,3535,凱基-板橋,186,2.16
48,2308,新加坡商瑞銀,4576,19.9
49,2385,兆豐證券,461,1.45
50,2420,摩根大通,133,1.41
51,2420,富邦-建國,91,1.14
52,3044,元大證券,533,2.69
53,3044,新加坡商瑞銀,389,1.46
54,3533,宏遠證券,220,1.4
55,3533,台灣匯立證券,215,1.26
56,3312,瑞士信貸,460,4.04
57,3312,美林,390,2.93
58,3312,摩根大通,314,2.18
59,3702,元富-新店,1627,5.3
60,3702,富邦-陽明,629,1.56
61,2461,瑞士信貸,678,2.01
62,2461,美商高盛,288,1.66
63,2461,台灣摩根士丹利,252,2.57
64,2482,瑞士信貸,306,2.62
65,3665,美商高盛,222,1.35
66,2511,統一-台南,1873,5.12
67,5607,兆豐-復興,225,3.81
68,5607,台灣摩根士丹利,183,3.27
69,5607,凱基-大安,101,1.6
70,2912,新加坡商瑞銀,970,2.46
71,2912,台灣摩根士丹利,716,2.59
72,2912,摩根大通,460,1.39
73,9904,合庫證券,2410,1.91
74,9904,臺銀,994,3.3
75,9904,元富,697,2.33
76,9910,凱基,309,3.09
77,9910,美商高盛,242,3.1
78,9910,凱基-台北,228,2.81
79,5272,台灣摩根士丹利,661,3.61
80,5272,美林,194,1.24
81,3324,美商高盛,441,1.26
82,3324,統一,363,1.51
83,4529,元富-延平,194,1.2
